Gen=204,Mean=-105.31450000000002,StdDev=47.91335653813037,Best=-61.99
Gen=205,Mean=-98.89110000000001,StdDev=51.6589853732146,Best=-57.52
Gen=206,Mean=-106.04140000000001,StdDev=46.5977288077434,Best=-55.54
Gen=207,Mean=-95.5092,StdDev=43.238061928814524,Best=-59.69
Gen=208,Mean=-118.86760000000002,StdDev=57.33199776948298,Best=-66.81
Gen=209,Mean=-107.25490000000002,StdDev=45.59082875963103,Best=-62.58
Gen=210,Mean=-83.3489,StdDev=32.26864099694934,Best=-46.85
Gen=211,Mean=-93.68430000000002,StdDev=44.51430952525267,Best=-55.08
Gen=212,Mean=-99.64260000000006,StdDev=42.72800535058944,Best=-60.41
Gen=213,Mean=-102.0915,StdDev=43.96532573233137,Best=-56.53
Gen=214,Mean=-95.88129999999997,StdDev=36.233685146697404,Best=-59.79
Gen=215,Mean=-72.16940000000004,StdDev=30.413129888914757,Best=-36.92
Gen=216,Mean=-104.24850000000004,StdDev=41.22626928003552,Best=-63.22
Gen=217,Mean=-82.78900000000002,StdDev=31.181479294606923,Best=-40.22
Gen=218,Mean=-85.81770000000002,StdDev=34.27571104601624,Best=-50.52
Gen=219,Mean=-115.0077,StdDev=51.71133606579897,Best=-58.83
Gen=220,Mean=-110.01180000000001,StdDev=48.64555232248885,Best=-63.7
Gen=221,Mean=-119.97150000000006,StdDev=59.03121115774265,Best=-60.52
Gen=222,Mean=-122.70050000000003,StdDev=55.05776401880119,Best=-66.4
Gen=223,Mean=-122.63410000000005,StdDev=61.60252006363052,Best=-59.59
Gen=224,Mean=-110.61570000000003,StdDev=46.40971913845203,Best=-59.21
Gen=225,Mean=-113.23469999999998,StdDev=50.72521531654646,Best=-58.4
Gen=226,Mean=-112.66720000000004,StdDev=50.60515068804755,Best=-62.35
Gen=227,Mean=-114.10809999999991,StdDev=54.502887073897284,Best=-61.88
Gen=228,Mean=-106.92100000000006,StdDev=49.527794085745434,Best=-54.98
Gen=229,Mean=-106.34129999999996,StdDev=48.70033738394427,Best=-47.8
Gen=230,Mean=-114.30809999999998,StdDev=47.68655692530129,Best=-64.54
Gen=231,Mean=-98.95889999999996,StdDev=45.80406641107316,Best=-54.22
Gen=232,Mean=-110.4876,StdDev=50.09845045747422,Best=-65.79
Gen=233,Mean=-83.21549999999999,StdDev=32.15568874631671,Best=-49.06
Gen=234,Mean=-105.96110000000004,StdDev=50.04829419460767,Best=-63.11
Gen=235,Mean=-114.3199,StdDev=44.70600855578587,Best=-57.33
Gen=236,Mean=-87.17560000000003,StdDev=41.658794013269286,Best=-47.7
Gen=237,Mean=-120.4421,StdDev=56.508464167680216,Best=-64.97
Gen=238,Mean=-115.1285,StdDev=54.728305224536236,Best=-58.7
Gen=239,Mean=-121.48200000000003,StdDev=52.48985359095604,Best=-61.94
Gen=240,Mean=-110.75040000000001,StdDev=46.0436863189732,Best=-62.55
Gen=241,Mean=-111.51059999999995,StdDev=52.547261504668356,Best=-61.79
Gen=242,Mean=-99.94260000000003,StdDev=44.25538657881095,Best=-53.67
Gen=243,Mean=-82.7406,StdDev=37.476084529203426,Best=-47.73
Gen=244,Mean=-89.05949999999999,StdDev=32.14662468673811,Best=-52.48
Gen=245,Mean=-109.3234,StdDev=52.811137238654496,Best=-63.55
Gen=246,Mean=-117.72980000000003,StdDev=49.71233392187497,Best=-57.46
Gen=247,Mean=-116.11430000000001,StdDev=44.59065234452171,Best=-62.35
Gen=248,Mean=-95.78110000000002,StdDev=49.8835752907708,Best=-47.63
Gen=249,Mean=-124.2322,StdDev=56.3163993802871,Best=-57.29
Gen=250,Mean=-123.6048999999999,StdDev=65.77663049282776,Best=-66.59
Gen=251,Mean=-94.61880000000002,StdDev=32.2899657875322,Best=-57.65
Gen=252,Mean=-133.8063999999999,StdDev=68.21991293632672,Best=-69.13
Gen=253,Mean=-103.8712,StdDev=40.75989738161763,Best=-55.96
Gen=254,Mean=-130.50119999999995,StdDev=64.5375613465523,Best=-63.07
Gen=255,Mean=-115.26520000000006,StdDev=56.5897181205208,Best=-61.21
Gen=256,Mean=-86.83420000000004,StdDev=32.249455163769824,Best=-52.39
Gen=257,Mean=-102.48639999999996,StdDev=40.4032948042607,Best=-58.07
Gen=258,Mean=-103.44590000000002,StdDev=46.39453892636503,Best=-58.89
Gen=259,Mean=-82.6867,StdDev=39.425666057912075,Best=-45.97
Gen=260,Mean=-84.2784,StdDev=34.247568168265616,Best=-45.8
Gen=261,Mean=-105.07639999999999,StdDev=53.90031054678629,Best=-55.38
Gen=262,Mean=-109.1602,StdDev=46.32366321827324,Best=-58.72
Gen=263,Mean=-119.52339999999995,StdDev=57.362193825201636,Best=-64.67
Gen=264,Mean=-114.45980000000002,StdDev=50.16845303534881,Best=-63.15
Gen=265,Mean=-114.80539999999999,StdDev=49.45603371521012,Best=-64.21
Gen=266,Mean=-108.8185,StdDev=52.84235559425791,Best=-56.6
Gen=267,Mean=-102.64379999999997,StdDev=51.38857561326253,Best=-46.26
Gen=268,Mean=-118.97839999999992,StdDev=58.139612945392074,Best=-65.11
