Gen=119,Mean=-108.01639242897907,StdDev=39.75162973550638,Best=-60.62235561243064
Gen=120,Mean=-158.10864532219955,StdDev=68.71998307900651,Best=-71.90681469791302
Gen=121,Mean=-174.1418052061955,StdDev=71.38226726244741,Best=-80.23827017078571
Gen=122,Mean=-158.28514959890845,StdDev=66.26521950805841,Best=-72.62451376773548
Gen=123,Mean=-155.63306703994394,StdDev=56.169449380782815,Best=-77.44217197367337
Gen=124,Mean=-184.7399902228755,StdDev=70.83826023027291,Best=-84.37618147320961
Gen=125,Mean=-164.26030242655438,StdDev=75.89000162562185,Best=-60.49173497263903
Gen=126,Mean=-170.1599314624911,StdDev=77.14153242372296,Best=-67.07920691242555
Gen=127,Mean=-149.42803755350076,StdDev=60.82168521925025,Best=-74.58270577017169
Gen=128,Mean=-170.36701058942953,StdDev=72.04710197378658,Best=-83.45016476916028
Gen=129,Mean=-128.57351488830508,StdDev=44.9775451671919,Best=-69.22680116833364

Gen=129,Mean=-117.40570971492595,StdDev=47.39952770159784,Best=-63.27938052794133
Gen=130,Mean=-165.61789141232055,StdDev=70.11044033620678,Best=-81.46109500859905
Gen=131,Mean=-105.72394112449422,StdDev=32.53131065764907,Best=-58.05988287966141
Gen=132,Mean=-104.78889878318206,StdDev=48.67817469675723,Best=-52.288143971650015
Gen=133,Mean=-147.15754915696914,StdDev=58.396404222470906,Best=-76.41995812613352
Gen=134,Mean=-171.7311287557936,StdDev=64.37754745453593,Best=-83.12586841651641
Gen=135,Mean=-148.26415334946415,StdDev=51.81556167375376,Best=-75.7859485656807
Gen=136,Mean=-113.36233478191305,StdDev=42.15454842355045,Best=-61.33865013187036
Gen=137,Mean=-169.16402618608535,StdDev=67.97255287624124,Best=-84.99323502491242
Gen=138,Mean=-160.3843992543994,StdDev=62.765384375509186,Best=-82.0224359550483
Gen=139,Mean=-140.3765585666273,StdDev=63.84991076728491,Best=-64.93003927305142
Gen=140,Mean=-139.72893545867984,StdDev=65.93080611962884,Best=-64.35837163881635
Gen=141,Mean=-156.23877872523326,StdDev=63.10503167297828,Best=-73.00095889781174
Gen=142,Mean=-177.07910224517917,StdDev=67.82535918107169,Best=-74.34043314374756
Gen=143,Mean=-145.7759651836381,StdDev=59.192265328999994,Best=-79.88623160470145
Gen=144,Mean=-163.0041757305734,StdDev=68.10445429189137,Best=-80.02936960891294
Gen=145,Mean=-157.80666197289386,StdDev=72.19179203325545,Best=-74.09379191268322
Gen=146,Mean=-156.18931049540743,StdDev=69.74233855391721,Best=-73.60835550397795
Gen=147,Mean=-156.62202597223018,StdDev=62.91885472856324,Best=-71.29207529592613
Gen=148,Mean=-158.33133992152563,StdDev=71.31676029275542,Best=-77.54044106142291
Gen=149,Mean=-165.68766732079126,StdDev=74.16238937490343,Best=-82.39229332892731
Gen=150,Mean=-171.41109308665133,StdDev=68.39862547478081,Best=-80.50689411472784
Gen=151,Mean=-114.40350869377804,StdDev=42.13288381481433,Best=-64.85776746080612
Gen=152,Mean=-121.32839271570285,StdDev=52.177047837379476,Best=-57.455112914343836
Gen=153,Mean=-160.2858326466991,StdDev=67.10403529411893,Best=-75.61322635624008
Gen=154,Mean=-153.84196025769657,StdDev=66.09830606051348,Best=-66.44742282436543
Gen=155,Mean=-156.82980011922314,StdDev=66.47125464864138,Best=-75.60317453652327
Gen=156,Mean=-164.21350318108907,StdDev=69.69459715784608,Best=-76.35247212762663
Gen=157,Mean=-152.25003470929735,StdDev=76.23733029833694,Best=-69.63863870007799
Gen=158,Mean=-116.58037025869295,StdDev=52.399811739605134,Best=-57.49626074798256
Gen=159,Mean=-151.35456839014202,StdDev=68.17319948068902,Best=-73.03909911821202
Gen=160,Mean=-146.12843525950873,StdDev=65.88664818161227,Best=-68.32437339632176
Gen=161,Mean=-150.6556762434001,StdDev=64.79937974736964,Best=-72.48889570134173
Gen=162,Mean=-134.08063764740754,StdDev=54.606734090811585,Best=-66.3477203828436
Gen=163,Mean=-167.95057579758992,StdDev=70.4767301260353,Best=-69.70688631691993
Gen=164,Mean=-159.46537611837485,StdDev=57.914392161407044,Best=-85.06268276982568
Gen=165,Mean=-153.61037438355552,StdDev=68.41208651798239,Best=-59.993082934618386
Gen=166,Mean=-151.2863618103287,StdDev=70.40961745524766,Best=-71.67963448567522
Gen=167,Mean=-152.31935455248237,StdDev=62.94484989826556,Best=-81.1024044033221
Gen=168,Mean=-158.91813833327728,StdDev=70.06054245212032,Best=-69.66096467893622
Gen=169,Mean=-143.52310678355502,StdDev=59.70052695911705,Best=-72.2160646947755
Gen=170,Mean=-147.2452098794817,StdDev=74.20334269793638,Best=-72.80995811013766
